Texto,Usuario,Column3,Column4
@AABenedetti ¿Pero qué garantías va a tener un hampón como vos? ¡No se puede defender lo indefendible! ¿Cómo va uno a decir que 3 mil millones son pa mecatiarselos en cositas en la playa? Hay que ser muy tetrahijueputa pues!,JCRmontoya,"Medellín, Colombia",TRUE
"@PinzonBueno Esos ""héroes"" defienden a infames, como vos!!! hp!!!",NICHELTON,"Medellin, Colombia",FALSE
@DonIzquierdo_ A vos te pusieron botas al revés? Hable seriamente con su mamá parcero,JhonBungee,Medellin,FALSE
@ArielAnaliza No te has dado cuenta vos de tu ridículo ( perra olvidada) ?????? https://t.co/hHbXdkL4Cd,Mauro25G,Medellin,TRUE
"@jayfalexander Lo más es que vos estés seguro . Firmé siempre , buen día",Hernand82967362,"Medellín, Colombia",FALSE
@resuspendido Amen ???????????? estamos con vos de corazón mi Mejia lindo ????????,LaNanisUribista,"Medellín, Colombia",FALSE
@AnaKAmaya79 Lamento mucho esa situación Ana (hasta yo misma me cuestiono a veces para qué tengo twitter) Espero que tu duda se solucione y sea lo mejor para vos.,MariaMaldinga,"Medellín, Colombia",TRUE
"Donde vos estes, ahí quiero estar https://t.co/94PXiFPoTt",AndresVlqz,"Medellín, Colombia",TRUE
@LJhoanaa @D_Blandon91 No te ha llevado a vos.,SJavier08,Medellin Colombia,TRUE
"Lo más difícil de estas despedidas es esa sensación de soledad a la que regresa el otro, ese que vos sabés que abre la puerta sólo a aquellos que ama desde siempre y a nadie más; un corazón cerrado, hermético, y tan frágil al mismo tiempo, que dan ganas de no soltar.",UnaMalPanida,"Medellín, Colombia",TRUE
"Si tienes problemas con todo el mundo, el mundo no es el del problema. ¡Revísate vos, abalízate y descubrí lo que está mal en vos!",danielc19m,"Medellín, Colombia",TRUE
"@Fooros @SoyDiv0 @LuisaMDCampo @MarioNolio @Florencia90102 @rescatatukgdef1 @RamadanMezVzla @Dante27579076 @3lS0ld4d0R0j0 @Lneomargonzalez @HUS07777781 @Sanchez12936606 @OJOVENE @Fredypm @RiegoPineda @1961Tokio @Delnacarrero @joseanibalochoa @JorgeZuluagaSi1 @Antonio29058651 @VenomRen @OnlineFighterVe @WilfredoNc @2Viejis39 @GiovanniPetri2 @CarpinteroAlejo @caricaturasniso @Klobo91 @ARMANDO48997112 @Chavista_alegre @jcy126kerubin @miguelsabat @LaNiaDeLaCalza1 @avatador2 @indioguerrero50 @SanchezPinedaA2 @Rafaelc94531254 @ADOLALE @Vzla_asediada @Proleta64426131 @jerafervas1 @leonaries24 @Tropatriunfante @DylanCruzado05 @yaruabella @Guancho2005 @ExpulsadoC @wendylp90 @juanes @lopezobrador_ Peeerooo si vos fuiste perro del imperio en Irak mascota amaestrada !!!

Luchaste al lado de los Yankees ??????????????

Cuentanos que te hicieron que estás tan ardido con el imperio ????????????????????????????????????????????? https://t.co/iz6Lm9hmFI",Samurai16157668,Medallo ??Colombia,TRUE
"Existe gente tibia
Esa gente que te dice adiós y no te suelta la mano, esa gente que te usa de puente para su felicidad sin avisarte que te van a pisar.
Cuando me acuerdo de vos, solo me pregunto ¿Por qué no me fui antes?
#microcuento",michosiegfried,Medellin ,FALSE
@Tolaymaruja Tola vos no Tenes visa americana cierto jajajajaj atisva olé a ver si allá ponen la bandera boca abajo olé jajajaja aqui si tomamos mucho caldo de papa olé,mauroruedita,Medellin,FALSE
"@paoquintero92 Aleluya mk, sos la más debuenas del planeta, jajaja no conozco a nadie que cuente esa historia...bueno, a vos!",abuitrag83_Beta,Medellín,FALSE
"@AnaKAmaya79 @vlasoscuro @JIPenC @Akustronique Vos sos muy guapa por aguantarte a esta gente. Yo de ti ya los hubiera bloqueado a todos.

Me alegra que tu negocio marche bien.",isamaima,"Medellín, Colombia",TRUE
"@sptm_____ Nea, insegura de vos? Acaso no te has visto en un espejo, mrk sos una hermosa en todos los sentidos, que nada ni nadie te haga sentir menos.",R_mirezz,"Medellín, Colombia",FALSE
@NicoCorvalan110 Cuando vos mr pongas de fondo a mi????,_moreotero,triste,FALSE
"@Akustronique @JIPenC @esedesergio Uy, ofendes la memoria de la madre, queda claro que el fanático matoneador sos vos.

Mi tía también murió de cáncer y el papá de mi hija también tiene. A ninguno ofendió Ana, tranquilito.",isamaima,"Medellín, Colombia",TRUE
"@_sofiamontoyat @2824118s A vos te dedico el sol, porque eso es lo que sos",Carlos_913_,"Medellín, Colombia",FALSE
"@Alvaraditt_78 lo voy a terminar solo por vos, y honestamente tambien",basubero,"Medellín, Colombia",FALSE
Si Me Demostras El Interés Suficiente Me La Juego Toda Por Vos ! ????,CamiloHowen,"Medellín, Colombia",FALSE
"+ Mirá... y me decís a mi ciego.
- uhh nooo! Re mala mía pibe! ??
+ Uy sí pana, muy regular! ahí si; pegao' de un avión fallando mal como vos dices ??
- Hahaha re bien aplicado ahí... Se me ha pegado lo forro que sos
+ Hay que ser de club ??
- Quien sos! Pará un poco Brad Pitt",MIME2506,"Medellín, Colombia",TRUE
@CaxtriX_GD Lo mismo pa vos 8),Mr_Duckys,"Medellín, Colombia",FALSE
