ID,Texto,Usuario,UbicaciónUsuario,Geolocalización
1.41548E+18,"@JOSEJoseluiss @Kyzz_79 @GustavoBolivar Mijo sin desmeritar el arduo trabajo que hace un *GUARDA DE SEGURIDAD* pero este gremio hasta gana mejor que vos, si es que trabajas pues ??????????",gallardo_black,Envigado,FALSE
1.4154E+18,"Pues si, acá todas las críticas se reducen a la ""envidia"" o, tal persona tiene más plata que vos. Acá la capacidad adquisitiva es más importante que la inteligencia, actitudes muy colonialistas por su puesto. https://t.co/eqxTqCqmz1",FracasoDiario,"Medellín, Colombia",FALSE
1.41539E+18,"@JOSEJoseluiss @Kyzz_79 @GustavoBolivar Una pregunta Muy formal,

De donde crees vos que sale la plata para pagar las aseguradoras ??

Pues del mismo Hijueputa pueblo ??????",gallardo_black,Envigado,FALSE
1.41536E+18,"@Kyzz_79 @GustavoBolivar Una pregunta Muy formal,

De donde crees vos que sale la plata para pagar las aseguradoras ??

Pues del mismo Hijueputa pueblo ??????",gallardo_black,Envigado,FALSE
1.41533E+18,"@Cruyffixz_ @Verdolaga26363 Por eso dije q vos sabes más q la Premier, pues hay q creerte",paisagrana,"Medellín, Colombia",TRUE
1.41513E+18,"«No os culpo por preguntar e indagar, pues el Cielo es como el Libro de Dios puesto ante vos, en el que habéis de saber de sus obras maravillosas e ilustraros sobre sus estaciones, horas, o días, o meses, o años: para alcanzar este saber no ha de importaros si es el Cielo...",FelipeMazoHenao,"Medellín, Colombia",FALSE
1.41502E+18,"No jodas... yo bien migrañosa y vos enojándote porque no te compro velas aromáticas, no pues... perdón por no botar mi plata en cosas que no voy a usar.",nanita821117,"Envigado, Colombia",TRUE
1.41783E+18,"@Lauraggils Por Dios que cinismo. Cómo no, si vos sos parte de la coalición, sabes lo que le hicieron a bolivar, mira que @ivanmarulanda lo reconoció. Mira el daño que hace la ambición por el poder a personas decentes como @Lauraggils. Una gran pena.",juli11k,"Medellín, Antioquia",FALSE
1.41768E+18,"Mira @GustavoBolivar , aquí a los que vos llamás cerdos y asesinos, dándole los primeros auxilios a uno de los terroristas de primera línea que vos financias, esto sucedió en la U de Antioquia! https://t.co/FaX2V7iGJz",juancalizr,"Medellín, Colombia",FALSE
1.41765E+18,Mira vos a Jorge Bermúdez ?????? https://t.co/WiCSMbb77K,juanchonal2013,"Medellín, Colombia",FALSE
1.41547E+18,"+ Mirá... y me decís a mi ciego.
- uhh nooo! Re mala mía pibe! ??
+ Uy sí pana, muy regular! ahí si; pegao' de un avión fallando mal como vos dices ??
- Hahaha re bien aplicado ahí... Se me ha pegado lo forro que sos
+ Hay que ser de club ??
- Quien sos! Pará un poco Brad Pitt",MIME2506,"Medellín, Colombia",TRUE
1.41654E+18,@aguanteshingeki @monkelover42069 @kaworutrolazo mira vos,ramirourquiza41,en mi casita,TRUE
1.41616E+18,"@djShirry Mira educate un poquito y reacciona.

https://t.co/DgxlWpTIn0
https://t.co/C3E6Th86wV
https://t.co/C3E6Th86wV

Si no te enseñaron en la escuela de la segunda guerra mundial lo podes buscar vos, no te cuesta nada dejar la ignorancia a un lado basta con tomar un libro.",MCamilaBedoyaZ,Medellín - Colombia,TRUE
1.41547E+18,"@YaShenaste Nah pai, perdiste 20/0 eso fue cuándo me pegué el viaje a enviguetto por vos y mira como me pagaste.",Federicohghv,"Medellín, Colombia",TRUE
1.41604E+18,"@JhonnyCoe @AlvaroUribeVel @Alfarero30 @elkin_isaza @brisa7766433br1 Mira basura, simplemente vos sos guerrillero y degenerado porque apoyas a quien por años destruyó pueblos, quemó palacios, secuestró personas, reclutó niños y asesinó a muchos Colombianos.

No me vengas con ese cuento mugroso de que por ser negro tengo que apoyar a terroristas !!",IlsonJavier,"Medellin, Colombia",FALSE
1.41579E+18,"@JuMaJaRa @IvanDuque @QuinteroCalle Y de remate vino a regalarle Notaria a Olga Suárez Mira, como la ves? Vos q tenés gafas",ganzap,"Medellín, Antioquia",FALSE
1.41579E+18,"@kingMus50409470 @MiguelPoloP Mas adoctrinado que vos y  ....    no puedo ser  
Mira no mas tu fondo de 
Perfíl jajajajjajaja",Medellinlomejor,"Medellín, Colombia",FALSE
1.41547E+18,"Ah, mirá vos. El mismo gobierno que le sacó los ojos a 80 manifestantes. 
Qué cosas. https://t.co/LpD05fPxbx",manucalle87,"Medellin, Colombia",TRUE
